iter	MAE	RMSE
0	2.138743207	2.736062434
1	2.090336396	2.679480367
2	2.047264206	2.626146049
3	2.009139243	2.57932811
4	1.973602493	2.534666657
5	1.942244172	2.494017462
6	1.911132982	2.45496268
7	1.882460794	2.419259686
8	1.855976453	2.385967546
9	1.829856373	2.354505363
10	1.808792382	2.328425938
11	1.787783265	2.301736037
12	1.768214548	2.276920459
13	1.750036691	2.254554409
14	1.732599866	2.233627125
15	1.715478022	2.214160292
16	1.699830601	2.196198512
17	1.686126582	2.180537618
18	1.673299046	2.166405016
19	1.661168189	2.152173501
20	1.649590684	2.139602758
21	1.638823405	2.12724583
22	1.629347143	2.116836539
23	1.621400832	2.107560151
24	1.614043848	2.098963772
25	1.606580919	2.089756271
26	1.599930462	2.0812679
27	1.593635072	2.073751309
28	1.586970015	2.06565096
29	1.580966611	2.058280836
30	1.574713646	2.050507425
31	1.569041206	2.043327771
32	1.563365738	2.036762781
33	1.558226348	2.030621223
34	1.554076462	2.0258045
35	1.549506595	2.020800458
36	1.545551305	2.016316881
37	1.541863648	2.012260101
38	1.538064062	2.00819719
39	1.534964991	2.004627603
40	1.531856538	2.001327512
41	1.529129414	1.998322975
42	1.526445299	1.995134266
43	1.523821171	1.992141099
44	1.521183165	1.989271751
45	1.519033803	1.986955783
46	1.516720551	1.984113312
47	1.514664641	1.982032119
48	1.512887823	1.980343937
49	1.510788896	1.97801762
50	1.508964013	1.976145118
51	1.507386571	1.974454227
52	1.505602634	1.972185325
53	1.503640448	1.970608614
54	1.502061481	1.968851092
55	1.500634808	1.967794794
56	1.499458086	1.96642
57	1.498003119	1.965121932
58	1.496395939	1.963395635
59	1.495182111	1.962061892
60	1.494219495	1.960891118
61	1.492933826	1.959422398
62	1.49180088	1.958158547
63	1.490926494	1.957168367
64	1.490037562	1.956202154
65	1.48918074	1.955471289
66	1.488462354	1.954822307
67	1.487416318	1.953822593
68	1.486607477	1.952854833
69	1.485963792	1.952313664
70	1.485059482	1.951550181
71	1.484111422	1.950309948
72	1.48324372	1.949170593
73	1.482307763	1.948080522
74	1.481552856	1.947362711
75	1.480904654	1.946342403
76	1.480337825	1.945574663
77	1.479549198	1.944384895
78	1.478806087	1.943410445
79	1.478365996	1.942881483
80	1.477838601	1.942024453
81	1.477144368	1.941152269
82	1.476442518	1.940413012
83	1.475651396	1.939303413
84	1.474662214	1.938111512
85	1.473842944	1.937145208
86	1.473470581	1.936545359
87	1.472728413	1.935823026
88	1.472219495	1.934916864
89	1.471546589	1.934016578
90	1.470981769	1.93289652
91	1.47045532	1.932112093
92	1.469764152	1.931351777
93	1.469174179	1.930726023
94	1.468624276	1.929904744
95	1.468192748	1.929424687
96	1.467565605	1.928438829
97	1.46718396	1.927969544
98	1.466490723	1.927097885
99	1.465884312	1.925978649
100	1.465396796	1.925092139
101	1.464916491	1.924469056
102	1.464470333	1.923820034
103	1.464046311	1.923227673
104	1.463180554	1.921864659
105	1.462808467	1.921327817
106	1.462298545	1.920495865
107	1.46159554	1.919523923
108	1.461157265	1.918784341
109	1.460530466	1.917673745
110	1.459985683	1.916857743
111	1.459809198	1.916491502
112	1.459419682	1.915921668
113	1.458207844	1.914226277
114	1.457721012	1.913728179
115	1.457337853	1.913251589
116	1.456866453	1.912588584
117	1.456069002	1.911469243
118	1.455762285	1.910857994
119	1.455605889	1.910573604
120	1.455163476	1.909992112
121	1.454718607	1.909286814
122	1.454411662	1.90883877
123	1.453868331	1.908022714
124	1.453376271	1.90735245
125	1.453070766	1.906845219
126	1.452812691	1.906570624
127	1.452356721	1.905732314
128	1.451913991	1.904938468
129	1.45120034	1.903914848
130	1.45081257	1.903203616
131	1.450391537	1.902706167
132	1.449762663	1.90195499
133	1.449384307	1.901375001
134	1.44861419	1.900215204
135	1.44837221	1.899758528
136	1.447524155	1.898685854
137	1.447023172	1.897938058
138	1.446038801	1.896507264
139	1.445269707	1.895356956
140	1.444602875	1.894257348
141	1.444143443	1.893619602
142	1.443641594	1.892736424
143	1.443346068	1.892095889
144	1.443146048	1.891748556
145	1.442666989	1.890938025
146	1.442066722	1.890192437
147	1.441661046	1.889624489
148	1.441483206	1.889386495
149	1.440970916	1.888627771
150	1.440532618	1.888010143
151	1.440183193	1.887481279
152	1.439856364	1.886972253
153	1.439027758	1.885882164
154	1.438743549	1.885314818
155	1.438132998	1.88449663
156	1.437970547	1.884178686
157	1.437655752	1.883688702
158	1.437449098	1.883263627
159	1.436741972	1.882287721
160	1.436110279	1.881430453
161	1.435831777	1.881085451
162	1.435341434	1.880401925
163	1.434667463	1.879406244
164	1.434162794	1.878680297
165	1.433717687	1.877982524
166	1.433354391	1.877273401
167	1.433172515	1.877014459
168	1.432807272	1.876589574
169	1.43245157	1.876072185
170	1.432010459	1.875469419
171	1.431356401	1.874365484
172	1.431114564	1.873860102
173	1.430607941	1.87298389
174	1.430310428	1.87249075
175	1.429974942	1.871980354
176	1.429628918	1.871418301
177	1.429387136	1.870950242
178	1.429075742	1.870475475
179	1.428866476	1.870102048
180	1.428645055	1.869787523
181	1.428345099	1.869374302
182	1.427988873	1.868922692
183	1.427322318	1.867953902
184	1.426633417	1.867121779
185	1.426313007	1.866506638
186	1.426003283	1.866007684
187	1.42568794	1.865495803
188	1.425155224	1.86475248
189	1.424772387	1.864241607
190	1.424395521	1.863697971
191	1.424026662	1.863195314
192	1.423698223	1.86254236
193	1.423383498	1.862225149
194	1.423172534	1.861887464
195	1.422916774	1.861522133
196	1.422585342	1.86106972
197	1.422297373	1.860634063
198	1.421982413	1.860166386
199	1.421854132	1.859940293
200	1.421586322	1.859515779
201	1.421102987	1.85894971
202	1.420543822	1.858314357
203	1.420035468	1.857595806
204	1.419794621	1.857261765
205	1.419437856	1.856802728
206	1.419046417	1.856283604
207	1.418772069	1.855881252
208	1.418493786	1.855477366
209	1.418053044	1.85494528
210	1.417777049	1.854426275
211	1.417469973	1.854106019
212	1.416930375	1.853305072
213	1.416427804	1.852499583
