iter	Passed	Remaining
0	3	3167
1	6	3177
2	9	3079
3	12	3034
4	15	2995
5	17	2978
6	20	2950
7	23	2933
8	26	2905
9	29	2909
10	32	2880
11	34	2841
12	37	2855
13	40	2843
14	43	2847
15	46	2834
16	49	2834
17	51	2812
18	54	2833
19	57	2824
20	61	2854
21	64	2858
22	67	2873
23	71	2890
24	74	2900
25	77	2896
26	80	2900
27	83	2887
28	86	2885
29	88	2860
30	90	2839
31	93	2813
32	95	2791
33	98	2797
34	100	2780
35	103	2764
36	105	2751
37	108	2734
38	110	2726
39	113	2719
40	115	2706
41	118	2697
42	120	2686
43	122	2670
44	125	2656
45	127	2645
46	130	2640
47	132	2624
48	135	2622
49	137	2612
50	139	2603
51	142	2600
52	145	2598
53	147	2589
54	150	2583
55	152	2573
56	155	2568
57	157	2558
58	160	2561
59	163	2554
60	166	2555
61	168	2546
62	171	2550
63	173	2542
64	176	2544
65	179	2539
66	181	2530
67	184	2525
68	186	2522
69	189	2518
70	192	2512
71	194	2507
72	197	2506
73	200	2504
74	202	2497
75	205	2493
76	207	2492
77	210	2488
78	213	2485
79	215	2482
80	218	2482
81	221	2478
82	223	2473
83	226	2467
84	229	2466
85	231	2464
86	234	2462
87	237	2460
88	239	2456
89	242	2454
90	245	2455
91	248	2456
92	252	2458
93	254	2456
94	257	2457
95	260	2449
96	262	2446
97	265	2441
98	268	2445
99	271	2444
100	274	2442
101	276	2434
102	279	2433
103	282	2430
104	284	2428
105	287	2426
106	290	2424
107	293	2419
108	295	2418
109	298	2413
110	301	2414
111	304	2415
112	307	2410
113	309	2407
114	312	2406
115	315	2403
116	318	2402
117	321	2400
118	323	2395
119	326	2392
120	329	2393
121	332	2390
122	334	2387
123	337	2384
124	340	2381
125	342	2377
126	345	2377
127	348	2375
128	351	2375
129	354	2373
130	357	2369
131	359	2365
132	362	2364
133	365	2363
134	368	2361
135	371	2357
136	374	2356
137	376	2354
138	379	2351
139	382	2348
140	385	2347
141	387	2344
142	390	2341
143	393	2340
144	396	2337
145	399	2334
146	401	2332
147	404	2328
148	407	2324
149	410	2323
150	413	2323
151	416	2321
152	419	2321
153	421	2317
154	424	2313
155	426	2310
156	429	2306
157	432	2303
158	435	2304
159	438	2304
160	442	2305
161	445	2303
162	448	2302
163	450	2298
164	453	2295
165	456	2291
166	459	2291
167	461	2287
168	464	2283
169	467	2281
170	469	2278
171	472	2272
172	474	2269
173	477	2266
174	480	2263
175	482	2258
176	485	2257
177	488	2254
178	490	2252
179	493	2249
180	496	2245
181	498	2241
182	501	2239
183	504	2236
184	507	2235
185	509	2231
186	512	2229
187	515	2227
188	518	2225
189	520	2220
190	524	2220
191	526	2215
192	529	2213
193	531	2209
194	534	2206
195	537	2202
196	539	2200
197	542	2197
198	545	2194
199	547	2191
200	550	2189
201	554	2191
202	561	2203
203	565	2204
204	568	2204
205	571	2204
206	575	2203
207	578	2203
208	582	2203
209	585	2203
210	588	2201
211	591	2198
212	594	2197
213	597	2195
